ID,Response
50883,0
50884,0
50885,1
50886,1
50887,0
50888,1
50889,0
50890,1
50891,1
50892,1
50893,0
50894,0
50895,0
50896,0
50897,0
50898,0
50899,0
50900,0
50901,1
50902,1
50903,0
50904,1
50905,1
50906,0
50907,0
50908,0
50909,1
50910,0
50911,0
50912,0
50913,0
50914,0
50915,1
50916,1
50917,1
50918,1
50919,1
50920,0
50921,1
50922,0
50923,0
50924,0
50925,0
50926,1
50927,1
50928,1
50929,1
50930,1
50931,1
50932,1
50933,1
50934,0
50935,1
50936,1
50937,0
50938,0
50939,0
50940,0
50941,1
50942,1
50943,1
50944,1
50945,0
50946,0
50947,0
50948,0
50949,0
50950,1
50951,0
50952,1
50953,1
50954,1
50955,1
50956,0
50957,0
50958,0
50959,0
50960,0
50961,0
50962,0
50963,0
50964,0
50965,1
50966,0
50967,0
50968,0
50969,0
50970,0
50971,1
50972,1
50973,0
50974,0
50975,1
50976,0
50977,0
50978,1
50979,0
50980,0
50981,0
50982,1
50983,0
50984,0
50985,1
50986,1
50987,0
50988,1
50989,1
50990,0
50991,1
50992,1
50993,0
50994,0
50995,1
50996,0
50997,0
50998,0
50999,0
51000,0
51001,0
51002,1
51003,1
51004,1
51005,1
51006,1
51007,0
51008,1
51009,0
51010,0
51011,0
51012,0
51013,1
51014,1
51015,1
51016,0
51017,0
51018,0
51019,0
51020,0
51021,0
51022,1
51023,0
51024,0
51025,0
51026,0
51027,0
51028,1
51029,0
51030,0
51031,0
51032,1
51033,1
51034,0
51035,0
51036,0
51037,0
51038,0
51039,0
51040,0
51041,0
51042,0
51043,0
51044,1
51045,1
51046,1
51047,1
51048,0
51049,1
51050,0
51051,1
51052,0
51053,1
51054,0
51055,0
51056,0
51057,0
51058,1
51059,1
51060,1
51061,1
51062,1
51063,1
51064,1
51065,0
51066,1
51067,0
51068,0
51069,1
51070,0
51071,0
51072,0
51073,1
51074,1
51075,0
51076,1
51077,1
51078,0
51079,0
51080,1
51081,1
51082,0
51083,0
51084,1
51085,0
51086,0
51087,1
51088,0
51089,0
51090,1
51091,0
51092,0
51093,1
51094,0
51095,0
51096,0
51097,1
51098,0
51099,1
51100,1
51101,0
51102,0
51103,0
51104,0
51105,0
51106,0
51107,1
51108,0
51109,0
51110,1
51111,1
51112,1
51113,1
51114,0
51115,0
51116,0
51117,0
51118,0
51119,1
51120,1
51121,0
51122,0
51123,0
51124,0
51125,0
51126,1
51127,1
51128,1
51129,0
51130,0
51131,0
51132,0
51133,0
51134,0
51135,1
51136,1
51137,1
51138,0
51139,1
51140,1
51141,0
51142,1
51143,0
51144,1
51145,0
51146,0
51147,1
51148,0
51149,0
51150,1
51151,1
51152,0
51153,0
51154,0
51155,1
51156,0
51157,0
51158,1
51159,0
51160,0
51161,1
51162,0
51163,0
51164,0
51165,1
51166,0
51167,1
51168,0
51169,0
51170,1
51171,0
51172,0
51173,0
51174,0
51175,1
51176,1
51177,1
51178,1
51179,1
51180,1
51181,1
51182,1
51183,1
51184,1
51185,0
51186,0
51187,1
51188,1
51189,0
51190,0
51191,1
51192,1
51193,0
51194,0
51195,1
51196,1
51197,0
51198,1
51199,0
51200,0
51201,1
51202,1
51203,0
51204,1
51205,0
51206,1
51207,0
51208,0
51209,1
51210,0
51211,1
51212,0
51213,0
51214,1
51215,0
51216,1
51217,0
51218,0
51219,0
51220,0
51221,0
51222,1
51223,0
51224,1
51225,1
51226,0
51227,1
51228,0
51229,0
51230,0
51231,1
51232,0
51233,0
51234,0
51235,0
51236,0
51237,1
51238,0
51239,1
51240,0
51241,0
51242,1
51243,1
51244,1
51245,1
51246,0
51247,0
51248,0
51249,0
51250,0
51251,0
51252,0
51253,0
51254,0
51255,0
51256,0
51257,1
51258,0
51259,0
51260,1
51261,0
51262,0
51263,1
51264,0
51265,0
51266,0
51267,0
51268,0
51269,0
51270,0
51271,1
51272,1
51273,1
51274,1
51275,0
51276,0
51277,0
51278,0
51279,0
51280,1
51281,0
51282,0
51283,0
51284,1
51285,0
51286,0
51287,0
51288,0
51289,0
51290,1
51291,0
51292,0
51293,0
51294,0
51295,0
51296,1
51297,0
51298,0
51299,0
51300,1
51301,1
51302,1
51303,1
51304,1
51305,0
51306,1
51307,1
51308,0
51309,1
51310,0
51311,0
51312,1
51313,1
51314,1
51315,1
51316,0
51317,1
51318,1
51319,0
51320,1
51321,0
51322,1
51323,0
51324,0
51325,0
51326,0
51327,1
51328,0
51329,1
51330,0
51331,0
51332,1
51333,1
51334,1
51335,1
51336,0
51337,1
51338,0
51339,0
51340,1
51341,0
51342,1
51343,1
51344,0
51345,1
51346,1
51347,0
51348,0
51349,0
51350,1
51351,0
51352,1
51353,1
51354,1
51355,0
51356,1
51357,1
51358,1
51359,1
51360,0
51361,1
51362,1
51363,1
51364,1
51365,0
51366,1
51367,0
51368,0
51369,0
51370,0
51371,0
51372,1
51373,0
51374,0
51375,0
51376,0
51377,0
51378,1
51379,0
51380,1
51381,0
51382,0
51383,0
51384,1
51385,0
51386,1
51387,0
51388,1
51389,1
51390,1
51391,0
51392,1
51393,1
51394,1
51395,1
51396,0
51397,0
51398,0
51399,1
51400,0
51401,0
51402,0
51403,0
51404,1
51405,1
51406,0
51407,1
51408,0
51409,0
51410,0
51411,1
51412,0
51413,0
51414,0
51415,0
51416,1
51417,0
51418,0
51419,1
51420,0
51421,0
51422,0
51423,0
51424,0
51425,1
51426,0
51427,0
51428,1
51429,0
51430,0
51431,0
51432,1
51433,1
51434,0
51435,0
51436,0
51437,0
51438,0
51439,0
51440,1
51441,0
51442,0
51443,0
51444,0
51445,0
51446,0
51447,0
51448,0
51449,0
51450,1
51451,1
51452,0
51453,0
51454,0
51455,1
51456,0
51457,0
51458,0
51459,0
51460,0
51461,0
51462,1
51463,1
51464,0
51465,0
51466,1
51467,0
51468,0
51469,0
51470,0
51471,0
51472,0
51473,0
51474,0
51475,0
51476,0
51477,0
51478,0
51479,1
51480,0
51481,0
51482,0
51483,1
51484,1
51485,1
51486,0
51487,1
51488,1
51489,1
51490,1
51491,0
51492,1
51493,1
51494,1
51495,0
51496,0
51497,1
51498,0
51499,1
51500,0
51501,0
51502,0
51503,0
51504,1
51505,1
51506,1
51507,0
51508,0
51509,0
51510,0
51511,1
51512,1
51513,0
51514,0
51515,1
51516,1
51517,1
51518,0
51519,1
51520,1
51521,0
51522,0
51523,1
51524,1
51525,0
51526,0
51527,1
51528,1
51529,1
51530,1
51531,0
51532,0
51533,0
51534,0
51535,1
51536,1
51537,0
51538,1
51539,0
51540,0
51541,0
51542,0
51543,0
51544,1
51545,1
51546,0
51547,1
51548,1
51549,1
51550,0
51551,0
51552,0
51553,0
51554,0
51555,0
51556,0
51557,1
51558,0
51559,1
